2026-07-28T14:56:44  Connected: Agilent Technologies,E5071B,MY42402473,A.09.10
2026-07-28T14:56:45  ========================================================================
2026-07-28T14:56:45  Drift modeling replication  |  3.5 h  |  started 2026-07-28 14:56:45
2026-07-28T14:56:45  Params: S11 | Quantities: Mag (dB),Phase (deg)
2026-07-28T14:56:45  Points: 401 | 500.000 MHz to 3.000 GHz | IFBW 1000 Hz
2026-07-28T14:56:45  Sampling period: 0s | estimated sweep time: 0.67s | VISA timeout: 20s
2026-07-28T14:56:45  Expected: ~18773 sweeps, ~603.1 MB of CSV (148.9 GB free)
2026-07-28T14:56:45  Ends at ~2026-07-28 18:26:45 (or press q / Ctrl+C / close the plot)
2026-07-28T14:56:45  CSV: C:\Users\shiha\OneDrive\Desktop\Internships\EMpact Lab\VNA Drift Modeling Analysis\vna\data\drift_20260728_145615.csv
2026-07-28T14:56:45  Log: C:\Users\shiha\OneDrive\Desktop\Internships\EMpact Lab\VNA Drift Modeling Analysis\vna\data\drift_20260728_145615.log
2026-07-28T14:56:45  NOTE: the output folder is inside OneDrive, which will try to sync the CSV while it grows. Consider --outdir on a local disk for long runs.
2026-07-28T14:56:45  ========================================================================
2026-07-28T14:56:45  Tracking 2.9375 GHz for the drift trace.
2026-07-28T14:56:45  [  0.0%] sweep 1 | 0h00m00s elapsed, 3h29m59s left | errors 0 reconnects 0 | 26.9 KB
2026-07-28T14:57:16  [  0.2%] sweep 50 | 0h00m31s elapsed, 3h29m28s left | errors 0 reconnects 0 | 1.3 MB
2026-07-28T14:57:46  [  0.5%] sweep 99 | 0h01m01s elapsed, 3h28m58s left | errors 0 reconnects 0 | 2.7 MB
2026-07-28T14:58:17  [  0.7%] sweep 148 | 0h01m32s elapsed, 3h28m27s left | errors 0 reconnects 0 | 4.0 MB
2026-07-28T14:58:48  [  1.0%] sweep 197 | 0h02m02s elapsed, 3h27m57s left | errors 0 reconnects 0 | 5.4 MB
2026-07-28T14:59:18  [  1.2%] sweep 246 | 0h02m33s elapsed, 3h27m26s left | errors 0 reconnects 0 | 6.7 MB
2026-07-28T14:59:49  [  1.5%] sweep 295 | 0h03m03s elapsed, 3h26m56s left | errors 0 reconnects 0 | 8.1 MB
2026-07-28T15:00:19  [  1.7%] sweep 344 | 0h03m34s elapsed, 3h26m25s left | errors 0 reconnects 0 | 9.4 MB
2026-07-28T15:00:49  [  1.9%] sweep 392 | 0h04m04s elapsed, 3h25m55s left | errors 0 reconnects 0 | 10.8 MB
2026-07-28T15:01:19  [  2.2%] sweep 440 | 0h04m34s elapsed, 3h25m25s left | errors 0 reconnects 0 | 12.1 MB
2026-07-28T15:01:49  [  2.4%] sweep 488 | 0h05m04s elapsed, 3h24m55s left | errors 0 reconnects 0 | 13.4 MB
2026-07-28T15:02:19  [  2.7%] sweep 536 | 0h05m34s elapsed, 3h24m25s left | errors 0 reconnects 0 | 14.8 MB
2026-07-28T15:02:50  [  2.9%] sweep 584 | 0h06m05s elapsed, 3h23m54s left | errors 0 reconnects 0 | 16.1 MB
2026-07-28T15:03:20  [  3.1%] sweep 632 | 0h06m35s elapsed, 3h23m24s left | errors 0 reconnects 0 | 17.4 MB
2026-07-28T15:03:50  [  3.4%] sweep 680 | 0h07m05s elapsed, 3h22m54s left | errors 0 reconnects 0 | 18.8 MB
2026-07-28T15:04:20  [  3.6%] sweep 728 | 0h07m35s elapsed, 3h22m24s left | errors 0 reconnects 0 | 20.1 MB
2026-07-28T15:04:50  [  3.9%] sweep 776 | 0h08m05s elapsed, 3h21m54s left | errors 0 reconnects 0 | 21.4 MB
2026-07-28T15:05:20  [  4.1%] sweep 824 | 0h08m35s elapsed, 3h21m24s left | errors 0 reconnects 0 | 22.8 MB
2026-07-28T15:05:51  [  4.3%] sweep 872 | 0h09m05s elapsed, 3h20m54s left | errors 0 reconnects 0 | 24.1 MB
2026-07-28T15:06:21  [  4.6%] sweep 920 | 0h09m36s elapsed, 3h20m23s left | errors 0 reconnects 0 | 25.4 MB
2026-07-28T15:06:51  [  4.8%] sweep 968 | 0h10m06s elapsed, 3h19m53s left | errors 0 reconnects 0 | 26.8 MB
2026-07-28T15:07:21  [  5.1%] sweep 1016 | 0h10m36s elapsed, 3h19m23s left | errors 0 reconnects 0 | 28.1 MB
2026-07-28T15:07:51  [  5.3%] sweep 1064 | 0h11m06s elapsed, 3h18m53s left | errors 0 reconnects 0 | 29.5 MB
2026-07-28T15:08:21  [  5.5%] sweep 1112 | 0h11m36s elapsed, 3h18m23s left | errors 0 reconnects 0 | 30.8 MB
2026-07-28T15:08:52  [  5.8%] sweep 1160 | 0h12m06s elapsed, 3h17m53s left | errors 0 reconnects 0 | 32.2 MB
2026-07-28T15:09:22  [  6.0%] sweep 1208 | 0h12m37s elapsed, 3h17m22s left | errors 0 reconnects 0 | 33.5 MB
2026-07-28T15:09:52  [  6.2%] sweep 1256 | 0h13m07s elapsed, 3h16m52s left | errors 0 reconnects 0 | 34.9 MB
2026-07-28T15:10:22  [  6.5%] sweep 1304 | 0h13m37s elapsed, 3h16m22s left | errors 0 reconnects 0 | 36.2 MB
